miasto,lat,lon,kraj,iso,region,kontynent
Bariadi,-2.7919,33.9894,Tanzania,TZA,Simiyu,Africa
Hong,10.2317,12.9303,Nigeria,NGA,Adamawa,Africa
Oume,6.3833,-5.4167,Côte d’Ivoire,CIV,Gôh-Djiboua,Africa
Boksburg,-26.2125,28.2625,South Africa,ZAF,Gauteng,Africa
Misratah,32.3775,15.092,Libya,LBY,Mişrātah,Africa
Singa,13.15,33.9333,Sudan,SDN,Sennar,Africa
Ndulo,-11.4833,15.8333,Angola,AGO,Huambo,Africa
Annaba,36.9,7.7667,Algeria,DZA,Annaba,Africa
Ondo,7.0833,4.8333,Nigeria,NGA,Ondo,Africa
Bloemfontein,-29.1167,26.2167,South Africa,ZAF,Free State,Africa
Germiston,-26.2178,28.1672,South Africa,ZAF,Gauteng,Africa
Mocamedes,-15.1953,12.1508,Angola,AGO,Namibe,Africa
Godome,6.3667,2.35,Benin,BEN,Atlantique,Africa
Bata,1.865,9.77,Equatorial Guinea,GNQ,Litoral,Africa
Al Bayda',32.7664,21.7417,Libya,LBY,Al Jabal al Akhḑar,Africa
Kurmuk,10.55,34.2833,Sudan,SDN,Blue Nile,Africa
Ras el-Barr,31.5125,31.8256,Egypt,EGY,Ad Daqahlīyah,Africa
Goma,-1.6794,29.2336,Congo (Kinshasa),COD,Nord-Kivu,Africa
Banikoara,11.3,2.4333,Benin,BEN,Alibori,Africa
Al `Ashir min Ramadan,30.3065,31.7415,Egypt,EGY,Ash Sharqīyah,Africa
Mahajanga,-15.7167,46.3167,Madagascar,MDG,Mahajanga,Africa
Damanhur,31.0361,30.4694,Egypt,EGY,Al Buḩayrah,Africa
Kabinda,-6.13,24.48,Congo (Kinshasa),COD,Lomami,Africa
Bahir Dar,11.6,37.3833,Ethiopia,ETH,Āmara,Africa
Sapele,5.9,5.6667,Nigeria,NGA,Delta,Africa
Kahama,-3.8375,32.6,Tanzania,TZA,Shinyanga,Africa
Man,7.4,-7.55,Côte d’Ivoire,CIV,Montagnes,Africa
Chimoio,-19.1167,33.45,Mozambique,MOZ,Manica,Africa
Kasulu,-4.58,30.1,Tanzania,TZA,Kigoma,Africa
Djougou,9.7,1.6667,Benin,BEN,Donga,Africa
Centurion,-25.8603,28.1894,South Africa,ZAF,Gauteng,Africa
Al Minya,28.1194,30.7444,Egypt,EGY,Al Minyā,Africa
Iseyin,7.9667,3.6,Nigeria,NGA,Oyo,Africa
Gaborone,-24.6581,25.9122,Botswana,BWA,Gaborone,Africa
Zinder,13.8053,8.9883,Niger,NER,Zinder,Africa
Ganda,-13.0167,14.6333,Angola,AGO,Benguela,Africa
Bo,7.9564,-11.74,Sierra Leone,SLE,Southern,Africa
Mambere,5.5,15.5,Central African Republic,CAF,Nana-Mambéré,Africa
Damboa,11.15,12.75,Nigeria,NGA,Borno,Africa
Beni,0.5,29.4667,Congo (Kinshasa),COD,Nord-Kivu,Africa
Biyala,31.1747,31.2204,Egypt,EGY,Kafr ash Shaykh,Africa
Zegoua,10.4875,-5.6536,Mali,MLI,,Africa
Khenifra,32.9394,-5.6675,Morocco,MAR,Béni Mellal-Khénifra,Africa
Saqultah,26.65,31.6667,Egypt,EGY,Sūhāj,Africa
Uacu Cungo,-11.3583,15.1194,Angola,AGO,Cuanza-Sul,Africa
Kimberley,-28.7383,24.7639,South Africa,ZAF,Northern Cape,Africa
Toamasina,-18.155,49.41,Madagascar,MDG,Toamasina,Africa
Mutare,-18.9667,32.6333,Zimbabwe,ZWE,Manicaland,Africa
Ijebu-Ode,6.8208,3.9208,Nigeria,NGA,Ogun,Africa
Barra do Dande,-8.4728,13.3731,Angola,AGO,Bengo,Africa
Sandton,-26.107,28.0517,South Africa,ZAF,Gauteng,Africa
Owo,7.1961,5.5864,Nigeria,NGA,Ondo,Africa
Gueckedou,8.5667,-10.1333,Guinea,GIN,N’Zérékoré,Africa
Sousse,35.8333,10.6333,Tunisia,TUN,Sousse,Africa
Tabora,-5.0167,32.8,Tanzania,TZA,Tabora,Africa
Tchaourou,8.8833,2.6,Benin,BEN,Borgou,Africa
Rufisque,14.7167,-17.2667,Senegal,SEN,Dakar,Africa
Duekoue,6.7333,-7.35,Côte d’Ivoire,CIV,Montagnes,Africa
El Jadid,33.2333,-8.5,Morocco,MAR,Casablanca-Settat,Africa
Osisioma,5.1497,7.3303,Nigeria,NGA,Abia,Africa
Zanzibar,-6.165,39.199,Tanzania,TZA,Zanzibar Urban/West,Africa
Kafue,-15.7667,28.1833,Zambia,ZMB,Lusaka,Africa
Laayoune,27.1536,-13.2033,Morocco,MAR,Laâyoune-Sakia El Hamra,Africa
